EMC,Location,Analyte,Flow,Run
0.8880000114440918,-1693589722_FL,TSS,Outflow,2
5.840000152587891,-1693589722_FL,TSS,Outflow,2
2.221999883651733,-1693589722_FL,TSS,Outflow,2
3.184999942779541,-1693589722_FL,TSS,Outflow,2
1.802000045776367,-1693589722_FL,TSS,Outflow,3
1.39300000667572,-1693589722_FL,TSS,Outflow,3
0.5789999961853027,-1693589722_FL,TSS,Outflow,3
1.980000019073486,-1693589722_FL,TSS,Outflow,3
1.258000016212463,-1693589722_FL,TSS,Outflow,3
2.710000038146973,-1693589722_FL,TSS,Outflow,3
1.014999985694885,-1693589722_FL,TSS,Outflow,3
1.802000045776367,-1693589722_FL,TSS,Outflow,3
0.8080000281333923,-1693589722_FL,TSS,Outflow,3
4.218999862670898,-1693589722_FL,TSS,Outflow,3
38.84999847412109,-1693589722_FL,TSS,Outflow,3
1.909000039100647,-1693589722_FL,TSS,Outflow,3
1.802000045776367,-1693589722_FL,TSS,Outflow,3
10.71000003814697,-1693589722_FL,TSS,Outflow,3
3.009999990463257,-1693589722_FL,TSS,Outflow,3
1.485000014305115,-1693589722_FL,TSS,Outflow,3
1.753999948501587,-1693589722_FL,TSS,Outflow,3
1.029999971389771,-1693589722_FL,TSS,Outflow,3
0.9380000233650208,-1693589722_FL,TSS,Outflow,3
1.38100004196167,-1693589722_FL,TSS,Outflow,3
3.142999887466431,-1693589722_FL,TSS,Outflow,3
1.802000045776367,-1693589722_FL,TSS,Outflow,3
2.157000064849854,-1693589722_FL,TSS,Outflow,3
1.669999957084656,-1693589722_FL,TSS,Outflow,3
0.9549999833106995,-1693589722_FL,TSS,Outflow,3
6.599999904632568,-1693589722_FL,TSS,Outflow,4
1.039000034332275,-1693589722_FL,TSS,Outflow,4
2.960000038146973,-1693589722_FL,TSS,Outflow,4
1.802000045776367,-1693589722_FL,TSS,Outflow,4
1.029999971389771,-1693589722_FL,TSS,Outflow,4
0.8989999890327454,-1693589722_FL,TSS,Outflow,4
1.001999974250793,-1693589722_FL,TSS,Outflow,4
1.753999948501587,-1693589722_FL,TSS,Outflow,4
