EMC,Location,Analyte,Flow,Run
2.900000095367432,1708200120_CO,Copper,Inflow,4
7.199999809265137,1708200120_CO,Copper,Inflow,4
17.39999961853027,1708200120_CO,Copper,Inflow,4
3.799999952316284,1708200120_CO,Copper,Inflow,4
6.199999809265137,1708200120_CO,Copper,Inflow,4
6.300000190734863,1708200120_CO,Copper,Inflow,4
5.199999809265137,1708200120_CO,Copper,Inflow,4
5.800000190734863,1708200120_CO,Copper,Inflow,4
6.900000095367432,1708200120_CO,Copper,Inflow,4
3.299999952316284,1708200120_CO,Copper,Inflow,4
10.19999980926514,1708200120_CO,Copper,Inflow,4
4.599999904632568,1708200120_CO,Copper,Inflow,4
5.699999809265137,1708200120_CO,Copper,Inflow,4
12.30000019073486,1708200120_CO,Copper,Inflow,4
2.799999952316284,1708200120_CO,Copper,Inflow,4
4.599999904632568,1708200120_CO,Copper,Inflow,5
3.400000095367432,1708200120_CO,Copper,Inflow,5
4.199999809265137,1708200120_CO,Copper,Inflow,5
5.800000190734863,1708200120_CO,Copper,Inflow,5
7.699999809265137,1708200120_CO,Copper,Inflow,5
4.300000190734863,1708200120_CO,Copper,Inflow,5
4.199999809265137,1708200120_CO,Copper,Inflow,5
3.599999904632568,1708200120_CO,Copper,Inflow,5
3.099999904632568,1708200120_CO,Copper,Inflow,5
3.0,1708200120_CO,Copper,Inflow,5
3.799999952316284,1708200120_CO,Copper,Inflow,5
10.10000038146973,1708200120_CO,Copper,Inflow,5
5.099999904632568,1708200120_CO,Copper,Inflow,5
2.5,1708200120_CO,Copper,Inflow,5
5.300000190734863,1708200120_CO,Copper,Inflow,5
3.400000095367432,1708200120_CO,Copper,Inflow,6
3.400000095367432,1708200120_CO,Copper,Inflow,6
7.199999809265137,1708200120_CO,Copper,Inflow,6
4.599999904632568,1708200120_CO,Copper,Inflow,6
3.799999952316284,1708200120_CO,Copper,Inflow,6
4.800000190734863,1708200120_CO,Copper,Inflow,6
12.30000019073486,1708200120_CO,Copper,Inflow,6
2.700000047683716,1708200120_CO,Copper,Inflow,6
6.199999809265137,1708200120_CO,Copper,Inflow,6
2.799999952316284,1708200120_CO,Copper,Inflow,6
8.699999809265137,1708200120_CO,Copper,Inflow,6
4.599999904632568,1708200120_CO,Copper,Inflow,6
3.799999952316284,1708200120_CO,Copper,Inflow,6
2.799999952316284,1708200120_CO,Copper,Inflow,6
4.300000190734863,1708200120_CO,Copper,Inflow,6
3.900000095367432,1708200120_CO,Copper,Inflow,7
4.800000190734863,1708200120_CO,Copper,Inflow,7
2.799999952316284,1708200120_CO,Copper,Inflow,7
3.400000095367432,1708200120_CO,Copper,Inflow,7
4.800000190734863,1708200120_CO,Copper,Inflow,7
