Location,Analyte,Flow,NumSamples,Quartile,EMC
459063142_WI_proprietary,Copper,Inflow,31,0.9,4.0
459063142_WI_proprietary,Copper,Outflow,31,0.1,1.0
459063142_WI_proprietary,Copper,Outflow,31,0.25,1.0
459063142_WI_proprietary,Copper,Outflow,31,0.5,1.600000023841858
459063142_WI_proprietary,Copper,Outflow,31,0.75,2.450000047683716
459063142_WI_proprietary,Copper,Outflow,31,0.9,3.0
973713662_ZZ,TSS,Inflow,93,0.1,12.50000019073486
973713662_ZZ,TSS,Inflow,93,0.25,27.39999961853027
973713662_ZZ,TSS,Inflow,93,0.5,65.0999984741211
973713662_ZZ,TSS,Inflow,93,0.75,147.0
973713662_ZZ,TSS,Inflow,93,0.9,217.68000488281245
973713662_ZZ,TSS,Outflow,33,0.1,2.7800001144409188
973713662_ZZ,TSS,Outflow,33,0.25,6.699999809265137
973713662_ZZ,TSS,Outflow,33,0.5,11.10000038146973
973713662_ZZ,TSS,Outflow,33,0.75,16.70000076293945
973713662_ZZ,TSS,Outflow,33,0.9,31.860001373291023
1671569331_MN,Phosphorus,Inflow,68,0.1,0.11909999772906305
1671569331_MN,Phosphorus,Inflow,68,0.25,0.14525000005960464
1671569331_MN,Phosphorus,Inflow,68,0.5,0.17800000309944156
1671569331_MN,Phosphorus,Inflow,68,0.75,0.25650000572204584
1671569331_MN,Phosphorus,Inflow,68,0.9,0.46459998786449436
1671569331_MN,Phosphorus,Outflow,53,0.1,0.12100000083446506
1671569331_MN,Phosphorus,Outflow,53,0.25,0.1729999929666519
1671569331_MN,Phosphorus,Outflow,53,0.5,0.2290000021457672
1671569331_MN,Phosphorus,Outflow,53,0.75,0.3499999940395355
1671569331_MN,Phosphorus,Outflow,53,0.9,0.5016000092029572
1671569331_MN,TSS,Inflow,67,0.1,7.6000000000000005
1671569331_MN,TSS,Inflow,67,0.25,10.0
1671569331_MN,TSS,Inflow,67,0.5,15.0
1671569331_MN,TSS,Inflow,67,0.75,20.0
1671569331_MN,TSS,Inflow,67,0.9,44.4
1671569331_MN,TSS,Outflow,52,0.1,6.0
